filmId,filmName,year,rating,description
1201206 BTS: Blood Sweat & Tears 2016 9,400000 Нет описания 
1252447 Лорды раздевалки 1999 9,300000 Нет описания 
6862424 У края бездны 2024 9,300000 Март 2022 года. Батальон «Сомали» в составе основных сил отправлен на штурм укреплённого Мариуполя с целью обеспечить возможность наступления ВС РФ. На подступах к городу ещё никто не знает, какого масштаба катастрофа развернётся в ближайшие недели и какие испытания придётся пройти солдатам и мирным жителям. 
962472 Hot Wheels. За гранью воображения 2015 9,300000 В Хот Вилс появляется загадочный новый житель по имени Гарри. Он демонстрирует изобретение, которое может решить все дорожные проблемы. Новый дистанционно-управляемый радиокомплекс способен лишить жителей города всех забот и хлопот! Не все друзья уверены, что Гарри можно доверять… Оказывается, что у парнишки есть один секрет. Мальчик помогает гонщикам остановить своего злого брата-изобретателя. Драйвовые приключения в городке Хот Вилс 
1072974 Герои Энвелла 2017 9,300000 История о четырех геймерах, которые нашли необычный ноутбук, оказавшийся порталом в мир игры «Герои Энвелла». Здесь все реально: и сам город, и его жители, и опасности, поджидающие на каждом шагу. В первом сезоне герои проходят игру и в финале сражаются с ее главным злодеем — Моргартом, который хочет вырваться в реальный мир. В продолжении сериала повзрослевшие ребята пытаются справиться с личными проблемами, но неожиданно из игры приходит сигнал о помощи. Арт, Кира, Вик и Фил возвращаются в мир Энвелла и встречают старых знакомых. Школьники-геймеры вступают в схватку с виртуальным злом. Хитовый мультсериал от российской студии «Паровоз» 
5260016 Попкульт 2022 9,300000 «Попкульт» — это проект на стыке ностальгии и любви к массовой культуре. В шоу, которое выходит на YouTube-канале «sndk», авторы разбирают прошлое на атомы через призму игр, анимации, кино, комиксов и технологий, чтобы понять, как формировалась современная индустрия развлечений. Каждый выпуск посвящён одному году и его релизам, которые повлияли на развитие поп-культуры. 
5249436 Когда жизнь даёт тебе мандарины 2025 9,300000 Вспыльчивая девушка с Чеджу хочет стать поэтессой, и её во всём поддерживает влюблённый тихоня. 
5444474 Шаранутый космос 2022 9,200000 Неизведанный и далекий космос становится немного ближе благодаря приключениям Астрочела. В своем увлекательном путешествии он получает самую разную информацию от говорящих планет — например, почему Меркурий горячий, Марс красный, а у Сатурна есть кольца. Планеты ищут любовь, плетут интриги и спасают Вселенную. Веселый мультсериал о тайнах Солнечной системы 
77044 Друзья 1994 9,200000 Шестеро друзей – Рейчел, Моника, Фиби, Джоуи, Чендлер и Росс – живут по соседству, вместе убивают время, делятся секретами и иногда очень сильно влюбляются. Шестеро друзей, две квартиры и много юмора. Ситком, который вошел в культурный код не одного поколения 
5139058 На первый взгляд 2022 9,200000 Опытный адвокат по имени Тесса за несколько месяцев не проиграла ни одного дела. Тесса прекрасно знает систему, а в делах об изнасилованиях она с лёгкостью «разбивает» свидетелей обвинения. Но однажды она сама становится жертвой сексуального насилия. 
